Step: 171, Loss: 6.905618, Tokens/sec: 12251.63
Step: 172, Loss: 6.876090, Tokens/sec: 12125.26
Step: 173, Loss: 6.589737, Tokens/sec: 12275.28
Step: 174, Loss: 6.604555, Tokens/sec: 11784.10
Step: 175, Loss: 6.597334, Tokens/sec: 12391.18
Step: 176, Loss: 6.242753, Tokens/sec: 12385.55
Step: 177, Loss: 6.409081, Tokens/sec: 12416.16
Step: 178, Loss: 6.318799, Tokens/sec: 12166.03
Step: 179, Loss: 6.416147, Tokens/sec: 12371.06
Step: 180, Loss: 6.240512, Tokens/sec: 12189.47
Step: 181, Loss: 6.601928, Tokens/sec: 12353.18
Step: 182, Loss: 6.266131, Tokens/sec: 12356.99
Step: 183, Loss: 6.285019, Tokens/sec: 12323.16
Step: 184, Loss: 6.191954, Tokens/sec: 12334.17
Step: 185, Loss: 6.508192, Tokens/sec: 12181.18
Step: 186, Loss: 6.383701, Tokens/sec: 12339.98
Step: 187, Loss: 6.388537, Tokens/sec: 12334.84
Step: 188, Loss: 6.651759, Tokens/sec: 12317.79
Step: 189, Loss: 6.750871, Tokens/sec: 12414.92
Step: 190, Loss: 6.523911, Tokens/sec: 12225.21
Step: 191, Loss: 6.544271, Tokens/sec: 12266.11
Step: 192, Loss: 6.580691, Tokens/sec: 12301.21
Step: 193, Loss: 6.456088, Tokens/sec: 12340.57
Step: 194, Loss: 6.193187, Tokens/sec: 12283.92
Step: 195, Loss: 6.285993, Tokens/sec: 12314.33
Step: 196, Loss: 6.354756, Tokens/sec: 12351.60
Step: 197, Loss: 6.232752, Tokens/sec: 12285.71
Step: 198, Loss: 6.073191, Tokens/sec: 12261.42
Step: 199, Loss: 6.142249, Tokens/sec: 12253.78
Step: 200, Loss: 6.066955, Tokens/sec: 12328.40
Step: 201, Loss: 6.243994, Tokens/sec: 12341.35
Step: 202, Loss: 6.264292, Tokens/sec: 12375.72
Step: 203, Loss: 6.157692, Tokens/sec: 12289.22
Step: 204, Loss: 6.271116, Tokens/sec: 12239.48
Step: 205, Loss: 6.562576, Tokens/sec: 12261.86
Step: 206, Loss: 6.244864, Tokens/sec: 12243.91
Step: 207, Loss: 6.126841, Tokens/sec: 12344.57
Step: 208, Loss: 6.036701, Tokens/sec: 12353.22
Step: 209, Loss: 6.375861, Tokens/sec: 12236.20
Step: 210, Loss: 6.300348, Tokens/sec: 12289.88
Step: 211, Loss: 6.328453, Tokens/sec: 12258.76
Step: 212, Loss: 6.535429, Tokens/sec: 12293.45
Step: 213, Loss: 6.512325, Tokens/sec: 12389.32
Step: 214, Loss: 6.529836, Tokens/sec: 12236.34
Step: 215, Loss: 6.389160, Tokens/sec: 12301.10
Step: 216, Loss: 6.338846, Tokens/sec: 12345.16
Step: 217, Loss: 6.440928, Tokens/sec: 12314.26
Step: 218, Loss: 6.161368, Tokens/sec: 12290.19
Step: 219, Loss: 6.237957, Tokens/sec: 12225.02
Step: 220, Loss: 6.410871, Tokens/sec: 12280.16
Step: 221, Loss: 6.310435, Tokens/sec: 12342.50
Step: 222, Loss: 6.112527, Tokens/sec: 12342.50
Step: 223, Loss: 6.157859, Tokens/sec: 12316.84
Step: 224, Loss: 6.073332, Tokens/sec: 12316.50
Step: 225, Loss: 5.873225, Tokens/sec: 12314.35
Step: 226, Loss: 5.786806, Tokens/sec: 12156.22
Step: 227, Loss: 5.406889, Tokens/sec: 12287.40
Step: 228, Loss: 5.935882, Tokens/sec: 12147.59
Step: 229, Loss: 5.915317, Tokens/sec: 12239.93
Step: 230, Loss: 6.070730, Tokens/sec: 12191.39
Step: 231, Loss: 6.196496, Tokens/sec: 12289.89
Step: 232, Loss: 6.112630, Tokens/sec: 12209.59
Step: 233, Loss: 6.314276, Tokens/sec: 12253.78
Step: 234, Loss: 6.004151, Tokens/sec: 12271.83
Step: 235, Loss: 5.844307, Tokens/sec: 12366.68
Step: 236, Loss: 6.331216, Tokens/sec: 12236.34
Step: 237, Loss: 5.744638, Tokens/sec: 12222.85
Step: 238, Loss: 5.930019, Tokens/sec: 12342.11
Step: 239, Loss: 5.923975, Tokens/sec: 12313.45
Step: 240, Loss: 6.212552, Tokens/sec: 12187.31
Step: 241, Loss: 5.991366, Tokens/sec: 12080.79
Step: 242, Loss: 5.770182, Tokens/sec: 12057.54
Step: 243, Loss: 5.642529, Tokens/sec: 12127.04
Step: 244, Loss: 5.640030, Tokens/sec: 12002.97
Step: 245, Loss: 5.707238, Tokens/sec: 12374.36
Step: 246, Loss: 5.850920, Tokens/sec: 12204.70
Step: 247, Loss: 6.058388, Tokens/sec: 12319.13
Step: 248, Loss: 5.801163, Tokens/sec: 12144.92
Step: 249, Loss: 5.895935, Tokens/sec: 12226.55
Step: 250, Loss: 5.807056, Tokens/sec: 12129.80
Step: 251, Loss: 5.705887, Tokens/sec: 12306.11
Step: 252, Loss: 5.954090, Tokens/sec: 12306.11
Step: 253, Loss: 6.002552, Tokens/sec: 12327.18
Step: 254, Loss: 6.057698, Tokens/sec: 12292.30
Step: 255, Loss: 5.712141, Tokens/sec: 12246.11
Step: 256, Loss: 5.913334, Tokens/sec: 12306.76
Step: 257, Loss: 5.773529, Tokens/sec: 12225.66
Step: 258, Loss: 5.528675, Tokens/sec: 12230.10
Step: 259, Loss: 5.431561, Tokens/sec: 12128.77
Step: 260, Loss: 5.966673, Tokens/sec: 12296.10
Step: 261, Loss: 5.637411, Tokens/sec: 12247.38
Step: 262, Loss: 5.705788, Tokens/sec: 12318.53
Step: 263, Loss: 5.513006, Tokens/sec: 12247.75
Step: 264, Loss: 5.461541, Tokens/sec: 12255.56
Step: 265, Loss: 5.471442, Tokens/sec: 12290.16
Step: 266, Loss: 5.664195, Tokens/sec: 12308.88
Step: 267, Loss: 5.150586, Tokens/sec: 12262.87
Step: 268, Loss: 5.656187, Tokens/sec: 12244.47
Step: 269, Loss: 6.195341, Tokens/sec: 12159.71
Step: 270, Loss: 6.060770, Tokens/sec: 12212.63
Step: 271, Loss: 6.059009, Tokens/sec: 12321.32
Step: 272, Loss: 5.911803, Tokens/sec: 12189.77
Step: 273, Loss: 5.894407, Tokens/sec: 12304.65
Step: 274, Loss: 5.683460, Tokens/sec: 12261.91
Step: 275, Loss: 5.843638, Tokens/sec: 12273.91
